index,label,preprocessed_news
0,pos,A maior vantagem do Bitcoin é sua descentralização não existindo uma entidade controladora por trás. Os agentes responsáveis pela rede da criptomoeda estão espalhados por todo o mundo o que minimiza chances de ataques hackers
1,pos,O que faz entrar na segunda principal característica do criptoativo que é a alta segurança justamente por sua descentralização
2,pos,O Bitcoin é mundial sendo possível enviar e receber a criptomoeda em e de qualquer lugar do mundo
3,pos,As taxas praticadas pela rede do Bitcoin são extremamente mais baixas do que as taxas praticadas por entidades do sistema financeiro tradicional
4,pos, BTC não pode ser falsificado
5,pos,Auditorias se tornarão dispensáveis
6,pos,Transações contábeis serão quase instantâneas
7,pos,Vão possibilitar contratos inteligentes
8,pos,Chegará a era da entrada tripla
9,pos,De modo resumido o blockchain permite maior rapidez eficiência e transparência de registros e transações financeiras
10,pos,Segundo a Forbes esses novos modelos de transações resultaram na redução de 40% a 80% nos custos de transação além da melhora na velocidade
11,pos,O processamento agora leva segundos em vez de dias Isso mudou completamente o cenário das transferências internacionais que eram complexas demoradas e de várias etapas
12,pos, Automação dos Registros Contábeis
13,pos,Automação dos Relatórios Contábeis
14,pos,Redução das Fraudes Contábeis
15,pos,Maior Segurança das Informações
16,pos,As principais redes de criptomoedas são bem seguras
17,pos, A tecnologia blockchain garante segurança extra fazendo com que a maioria das brechas sejam aquelas relacionadas a pessoas que não guardam com segurança as chaves de acesso a suas carteiras
18,pos,O principal atributo das criptomoedas é a sua descentralização Elas não dependem de entidades governamentais ou privadas para existir 
19,pos,Tudo gira em torno da tecnologia blockchain e da criptografia avançada
20,pos,Volatilidade representa a alta variação nos preços da moeda Quando dizemos que um ativo possui alta volatilidade significa que seu preço por diversas vezes varia muito dentro de um pequeno espaço de tempo
21,pos,O Bitcoin é revolucionário e possui uma tecnologia incrível
22,pos,O Bitcoin envia qualquer quantia de dinheiro em uma questão de minutos Independentemente da quantidade independentemente do destino
23,pos,O custo de fazer uma transferência para qualquer parte do mundo através do seu banco pode custar muito dinheiro Ao fazê-lo em bitcoins o custo é cêntimos ou gratuito
24,pos,Você pode enviar bitcoins para qualquer país do mundo. O Bitcoin como a Internet ou o e-mail não tem fronteiras Isto com a garantia de respeitar a liberdade dos seus usuários torna o Bitcoin a primeira moeda global que realmente funciona
25,pos,Nenhum governo ou banco central pode controlá-lo ou interferir na avaliação do bitcoin nem em sua criação nem em sua distribuição
26,pos,Com o Bitcoin o dinheiro se despolitiza é feito de gente eliminando assim o controle que o dinheiro da FIAT exerce sobre a população
27,pos,Os seus bitcoins são apenas seus O dinheiro pertence a si 100% não pode ser movido por ninguém não há censura nem as contas podem ser congeladas
28,pos,No Bitcoin você podes ser o teu próprio banco
29,pos,O Bitcoin é simples de implementar e tem toda uma linguagem de programação implícita permitindo que você crie pedaços de código que serão executados na transação
30,pos,Bitcoin é muito seguro Tem no seu cerne e em cada uma das operações um dos sistemas criptográficos mais potentes que existe mais do que aquele utilizado por bancos ou serviços cruciais do nosso dia a dia
31,pos,A  natureza distribuída do Bitcoin o torna resistente a quedas de rede ou ataques NUNCA nenhum outro sistema de computador esteve operacional 24 horas por dia 365 dias por ano por mais de 8 anos
32,pos,Mesmo diante de uma tempestade solar o Bitcoin ao contrário de outros sistemas resistiria Isto ocorre porque alguns dos seus nós estão localizados em bunkers da segunda guerra mundial protegidos no subsolo e até com segurança de perímetro triplo
33,pos,Bitcoin é um software totalmente aberto livre e gratuito Qualquer pessoa pode ver o seu código-fonte estudá-lo auditá-lo ou melhorá-lo 
34,pos,Desde o desenvolvimento do código até à forma da sua blockchain o consenso opera como um eixo fundamental No seu desenvolvimento as ideias e melhorias do código mais votado pelo resto são aquelas que acabam sendo implementadas Bitcoin muda se a maioria aceitar essa mudança
35,pos,No Bitcoin ninguém pode gerar milhares de bitcoins uma manhã porque um político ou banqueiro o deseja repentinamente Nunca haverá mais de 21 milhões e todos aparecem para mineração sempre sob regras totalmente públicas
36,pos,No Bitcoin você é o seu próprio banco Mas ao fazer isso não paga por um custo de abertura de conta taxas de manutenção mensais ou despesas falsas como acontece num banco
37,pos,Em tempos de constante roubo de informações espionagem industrial e social por parte de governos e ciber criminosos e ainda mais com o surgimento de técnicas avançadas de segurança Big Data é mais importante do que nunca cuidar da nossa privacidade conseguindo mantê-la num nível muito alto
38,pos,O Bitcoin tem esse conceito muito internalizado Bitcoin não é completamente anónimo mas funciona para ser Escrevemos um capítulo muito abrangente sobre a privacidade do Bitcoin e a importância necessária de ser anônimo Bitcoin não é anônimo
39,pos,No Bitcoin ao contrário do cartão de crédito um pagamento NÃO pode ser revertido O estorno gera um custo anual de € 40 bilhões em fraudes para as empresas qualquer pessoa pode efetuar um pagamento e ligar para o seu banco dizendo que não o fez
40,pos,Até o momento ninguém foi capaz de encontrar uma solução mesmo teórica e razoável para quebrar o mecanismo criptográfico subjacente ao Bitcoin
41,pos,Ele não pode ser rebaixado (é código) e o blockchain é suportado por centenas de milhares de computadores em todo o mundo
42,pos,Como pode ver o Bitcoin é o melhor dinheiro que existe Agora note-se que do nosso ponto de vista não é por ser rápido ou com baixos custos de transação Tudo isso é bom mas é melhor porque liberta-o
43,pos,Investir em bitcoins é simples e não exige do investidor grande conhecimento do mercado financeiro O usuário pode comprar e vender a moeda ou frações dela em uma plataforma on-line como o Atlas BTC Basta realizar um cadastro e transferir um valor mínimo para a conta que foi criada
44,pos,Com o bitcoin o investidor escapa da necessidade de avaliar uma série de variáveis do mercado que agem sobre a flutuação da carteira como ocorre nas negociações de ações por exemplo Por isso muitas vezes o investidor precisa do auxílio do gerente do banco ou de corretor
45,pos,A exigência mínima de investimento em bitcoins costuma ser baixa
46,pos,Ao comprar bitcoins há a chance de vendê-los a qualquer momento e com facilidade  o que dá liquidez ao investimento
47,pos,O código do bitcoin foi desenvolvido para produzir apenas 21 milhões de unidades Ou seja ele tem um caráter limitado assim como o ouro Por isso esse é um investimento que tende a se valorizar nos próximos anos pois a moeda ficará cada vez mais escassa e não sofrerá com inflação
48,pos,Há quem diga que a blockchain seja mais segura do que a própria Wall Street na proteção das informações Em 2011 a Bolsa de Nova York foi invadida por hackers deixando o sistema lento por cerca de uma hora
49,pos,Especialistas apontam a blockchain como uma das principais responsáveis pela segurança da criptomoeda Ela é uma espécie de livro contábil virtual e imutável em que são registradas as transações
50,pos,Além disso investir em criptomoedas permite diversificar a carteira de ativos já que existem cada vez mais moedas digitais no mercado
51,pos,Por se tratar de uma tecnologia baseada no Blockchain a Ethereum permite a troca de informações entre duas partes sem a necessidade de uma entidade central
52,pos,Ao invés de procedimentos de verificação manuais que estão sujeitos ao erro blockchain e a Ethereum em especial se utilizam de processos automatizados que garantem rapidez acessibilidade e a validação das transações
53,pos,A versão mais recente da Ethereum já está disponível no mercado há mais de 5 anos e nunca passou por grandes obstáculos como fraudes interferência de terceiros censura e tempo de inatividade
54,pos,Outro diferencial da Ethereum é o fato de ser um sistema totalmente programável Dessa forma os desenvolvedores podem usá-lo para criar aplicativos descentralizados que incluem serviços financeiros jogos contratos inteligentes e outros
55,pos,Um exemplo claro da versatilidade do sistema Ethereum é o fato de ele ter sido utilizado para a produção de NFTs Non-Fungible Tokens quando essa tecnologia ainda estava começando a atrair os olhos do público geral
56,pos,Ethereum permite aplicações mais complexas e diversificadas do que blockchains como a do Bitcoin
57,pos,Por ter sido pioneira no uso da blockchain para aplicações complexas Ethereum possui uma estrutura de rede mais confiável e segura do que seus concorrentes além de ganhar com o efeito de rede
58,pos,Ethereum permite a criação de contratos e formas diferentes de captação de recursos para projetos (ICO STO IEO etc)
59,pos, Toda a plataforma é descentralizada o que significa que não há um único ponto de falha Assim todas as aplicações permanecerão sempre online e nunca serão desativadas
60,pos,A rede Ethereum passa por constantes atualizações o que tende a melhorar seu desempenho e aumentar suas funcionalidades a longo prazo
61,pos,Se você estiver usando a Binance Coin para negociar na bolsa terá acesso ao mecanismo de correspondência proprietário da plataforma que pode suportar até 1 4 milhão de pedidos por segundo Você sempre pode encontrar o comércio certo e o uso da BNB o torna ainda mais rápido e confiável
62,pos,A Binance já possui milhões de usuários e traders de criptomoedas que confiam na plataforma e confiam nos recursos de segurança e proteção da bolsa A bolsa usa uma estrutura de sistema com vários clusters e multicamadas e o SAFU Secure Assets Fund for Users para manter seus fundos seguros
